equipmentNumber,displayName,averageHoursPerDay,currentHours,lastCheckCode,lastCheckHours,lastCheckDate
109,109,,,,,
110,110,,,,,
111,111,,,,,
112,112,,,,,
113,113,,,,,
204,204,,,,,
205,205,,,,,
327,327,,,,,
328,328,,,,,
329,329,,,,,
330,330,,,,,
333,333,,,,,
334,334,,,,,
335,335,,,,,
336,336,,,,,
337,337,,,,,
338,338,,,,,
339,339,,,,,
340,340,,,,,
341,341,,,,,
342,342,,,,,
343,343,,,,,
347,347,,,,,
348,348,,,,,
349,349,,,,,
350,350,,,,,
351,351,,,,,
352,352,,,,,
353,353,,,,,
417,417,,,,,
418,418,,,,,
419,419,,,,,
420,420,,,,,
421,421,,,,,
422,422,,,,,
427,427,,,,,
428,428,,,,,
429,429,,,,,
430,430,,,,,
431,431,,,,,
432,432,,,,,
433,433,,,,,
434,434,,,,,
435,435,,,,,
436,436,,,,,
437,437,,,,,
438,438,,,,,
439,439,,,,,
440,440,,,,,
441,441,,,,,
442,442,,,,,
505,505,,,,,
506,506,,,,,
507,507,,,,,
608,608,,,,,
609,609,,,,,
610,610,,,,,
611,611,,,,,
612,612,,,,,
613,613,,,,,
614,614,,,,,
618,618,,,,,
626,626,,,,,
627,627,,,,,
628,628,,,,,
629,629,,,,,
630,630,,,,,
631,631,,,,,
632,632,,,,,
633,633,,,,,
702,702,,,,,
703,703,,,,,
1003,1003,,,,,
1004,1004,,,,,
1005,1005,,,,,
1102,1102,,,,,
1103,1103,,,,,
1104,1104,,,,,
1105,1105,,,,,
1106,1106,,,,,
1107,1107,,,,,
1108,1108,,,,,
1109,1109,,,,,
1111,1111,,,,,
1221,1221,,,,,
1230,1230,,,,,
1231,1231,,,,,
1232,1232,,,,,
1233,1233,,,,,
1234,1234,,,,,
1235,1235,,,,,
1236,1236,,,,,
1237,1237,,,,,
1403,1403,,,,,
1404,1404,,,,,
1405,1405,,,,,
1504,1504,,,,,
1505,1505,,,,,
1508,1508,,,,,
1509,1509,,,,,
1510,1510,,,,,
1602,1602,,,,,
1603,1603,,,,,
2107,2107,,,,,
2108,2108,,,,,
2109,2109,,,,,
2110,2110,,,,,
2111,2111,,,,,
2112,2112,,,,,
2113,2113,,,,,
2114,2114,,,,,
2115,2115,,,,,
2301,2301,,,,,
2302,2302,,,,,
2401,2401,,,,,
2402,2402,,,,,